lang;food_id;name_translation
fr;83;Whey isolat de protéine de lait (cru)
fr;84;Whey concentrat de protéine de lait (cru)
fr;85;Lait en poudre
fr;86;Lait
fr;87;Yaourt
fr;88;Fromage blanc
fr;89;BCAA L-Leucine, L-isoleucine, L-valine par fermentation
fr;90;Moules (cuites)
fr;91;Saumon, élevage, cru
fr;92;Thon, cru
fr;93;Cabillaud, cru
fr;94;Sardine, crue
fr;95;Lieu jaune, cru
fr;96;Bar, cru
fr;97;Agneau, gigot, roti
fr;98;Fromage
fr;99;Quinoa (cuit)
fr;100;Chou rouge (cru)
fr;101;Chou rouge (bouilli)
fr;102;Broccolis (bouilli)
fr;103;Lentilles d'eau, W. arrhiza. (crues, déshydratées)
fr;104;Banane (crue)
fr;105;Tempeh gembus - soja (cru)
fr;106;Tempeh gembus - soja (cuit à la vapeur)
fr;107;Tempeh gembus - soja (frit)
fr;108;Tempeh gembus - soja (bromure ajoutée)
fr;109;Tempeh (depuis soja noir, Indonesie)
fr;110;Tempeh (depuis soja Anjasmoro, Indonésie)
fr;111;Tempeh (depuis soja américain)
fr;112;Tempeh - soja (cru)
fr;113;Seigle (cru)
fr;114;Seigle (pain)
fr;115;Gélatine (moyenne)
fr;116;Fèves (farine, bouillie)
fr;117;Haricots pinto (farine, bouillie)
fr;118;Haricots pinto (farine, extrudée, cuite au four)
fr;119;Haricots noirs (farine, bouillie)
fr;120;Haricots noirs  (farine, extrudée, cuite au four)
de;1;Haferflocken, Schmelzflocken-Haferbrei (gekocht)
de;2;Haferflocken, Schmelzflocken (roh)
de;3;Haferkleie (gekocht)
de;4;Haferkleie (roh)
de;5;Weizen (durchschnittlich, roh?)
de;6;Weizen (roh)
de;7;Vollkornweizen (gebacken)
de;8;Nudeln (gekocht, aus Hartweizengrieß)
de;9;Weizenflocken (Frühstücksflocken, durchschnittlich)
de;10;Weizenkleie (Frühstücksflocken, z.B. Kellogg's All Bran Fibre Plus)
de;11;Gepuffter Weizen (Frühstücksflocken, z.B. Honey Smacks)
de;12;Mais (durchschnittlich, roh?)
de;13;Mais (extrudiert, roh)
de;14;Mais (Frühstücksflocken, z.B. Honey Pops)
de;15;Cornflakes (geröstete Maisflocken, Kellogg’s)
de;16;Roggen (roh, gemahlen)
de;17;Reis (durchschnittlich, roh?)
de;18;Reis (gekocht)
de;19;Weißer Reis, (poliert, eingeweicht, gekocht)
de;20;Brauner Reis (eingeweicht, gekocht)
de;21;Reisproteinisolat
de;22;Biertreberisolat (Gerste/Reis, roh)
de;23;Raps (Canola, durchschnittlich, roh?)
de;24;Raps (durchschnittlich, roh?)
de;25;Gerste, (entspelzt, roh, gemahlen)
de;26;Hochlandgerste (eingeweicht, gekocht)
de;27;Gerstennudeln (aus Hochlandgerstenmehl)
de;28;Buchweizen (eingeweicht, gekocht)
de;29;Buchweizen (eingeweicht, gekocht)
de;30;Buchweizennudeln
de;31;Rispenhirse - Echte Hirse (eingeweicht, gekocht)
de;32;Hirse (eingeweicht, gekocht)
de;33;Gedämpfte Hirsebrötchen
de;34;Quinoa (roh)
de;35;Weizenbrot
de;36;Nährhefe
de;37;Pistazien (roh)
de;38;Pistazien (roh)
de;39;Pistazien (geröstet)
de;40;Walnüsse (roh)
de;41;Erdnüsse (geröstet)
de;42;Erdnussmehl (geschält)
de;43;Kürbiskernproteinkonzentrat (roh)
de;44;Kürbiskernproteinisolat (roh)
de;45;Mandeln (roh)
de;46;Sonnenblumenkerne (roh)
de;47;Cashewnüsse (roh)
de;48;Paranüsse (roh)
de;49;Pekannüsse (roh)
de;50;Pinienkerne (roh)
de;51;Haselnüsse (roh)
de;52;Sesambutter-Tahini (ungeröstet)
de;53;Ackerbohnen - Puffbohne (Mehl, extrudiert, gebacken)
de;54;Ackerbohnenproteinkonzentrat (gebacken)
de;55;Ackerbohnenproteinisolat (roh)
de;56;Rote Kidneybohnen (gekocht)
de;57;Adzukibohnen - Rote Bohnen (eingeweicht, gekocht)
de;58;Weiße Bohnen (gekocht)
de;59;Erbsenproteinisolat (Pulver, roh)
de;60;Erbsenproteinkonzentrat (Pulver, roh)
de;61;Erbsen (eingeweicht, gekocht)
de;62;Kichererbsen (gekocht)
de;63;Grüne Spalterbsen, Mehl (gebacken)
de;64;Gelbe Spalterbsen, Mehl (gebacken)
de;65;Grüne Spalterbse (gekocht)
de;66;Gelbe Spalterbse (gekocht)
de;67;Grüne Linsen (ganz, gekocht)
de;68;Rote Spalterbsen (gekocht)
de;69;Kichererbsen (eingeweicht, gekocht)
de;70;Sojabohnen (eingeweicht, gekocht)
de;71;Sojamilch
de;72;Tofu (aus Soja)
de;73;Sojaproteinisolat (roh)
de;74;Eier (gekocht)
de;75;Hähnchen (gekocht)
de;76;Schweinespeck (geräuchert, gekocht)
de;77;Schweineschinken (geräuchert, gepökelt)
de;78;Rinderhackfleisch (roh)
de;79;Rinderhackfleisch (gekocht)
de;80;Schwarzen Soldatenfliege Larven, Fettgehalt > 20 %, getrocknet
de;81;Mehlwurm-Larven, getrocknet
de;82;Molke (roh, durchschnittlich)
de;83;Molkenproteinisolat aus Milch (roh)
de;84;Molkenproteinkonzentrat aus Milch (roh)
de;85;Milchpulver
de;86;Milch
de;87;Joghurt
de;88;Hüttenkäse - Körniger Frischkäse
de;89;BCAA L-Leucin, L-Isoleucin, L-Valin durch Fermentation
de;90;Miesmuscheln (gekocht)
de;91;Lachs (Aquakultur, roh)
de;92;Thunfisch, roh
de;93;Kabeljau, roh
de;94;Sardelle, roh
de;95;Seelachs, roh
de;96;Wolfsbarsch, roh
de;97;Lammkeule (gekocht, gebraten)
de;98;Käse
de;99;Quinoa (gekocht)
de;100;Rotkohl (roh)
de;101;Rotkohl (gekocht)
de;102;Brokkoli (gekocht)
de;103;Wurzellose Zwergwasserlinse (roh, getrocknet)
de;104;Banane (roh)
de;105;Tempeh Gembus - Soja (roh)
de;106;Tempeh Gembus - Soja (gedämpft)
de;107;Tempeh Gembus - Soja (gebraten)
de;108;Tempeh Gembus - Soja (mit Bromelain)
de;109;Tempeh (aus schwarzen Sojabohnen, Indonesien)
de;110;Tempeh (aus indonesischen Sojabohnen, Sorte Anjasmoro)
de;111;Tempeh (aus US-amerikanischen Sojabohnen)
de;112;Tempeh - Soja (roh)
de;113;Roggen (roh)
de;114;Roggen (Brot)
de;115;Gelatine (durchschnittlich)
de;116;Ackerbohne (Mehl, gekocht)
de;117;Pintobohnen (Mehl, gekocht)
de;118;Pintobohnen (Mehl, extrudiert) gebacken)
de;119;Schwarze Bohnen (Mehl, gekocht)
de;120;Schwarze Bohnen (Mehl, extrudiert, gebacken)
